step,time,raw_score,std_score,human_normalized_score
1000000,5272.148816347122,765.6,137.1154258280227,2.4253438469805473
2000000,10679.129771232605,748.0,154.1324106085414,2.3190803376281504
3000000,16207.844498157501,814.4,151.94946528369226,2.7199835774576457
4000000,21738.318837165833,727.2,134.4,2.1934961902116825
5000000,27264.80447292328,718.4,139.84219677908382,2.140364435535484
6000000,32808.55693078041,784.8,123.6873477765612,2.541267675364979
7000000,38383.86311388016,728.8,145.73180847021695,2.2031565092437178
8000000,44051.68445086479,756.0,132.32686802006614,2.3673819327883305
9000000,49600.811539173126,900.0,208.12304053131646,3.2368106456715737
10000000,55105.559072732925,832.8,167.93141457154465,2.83107724632606
