step,time,raw_score,std_score,human_normalized_score
1000000,9330.68685,79.2,158.4,-1.718933018
2000000,18792.49669,52.8,105.6,-1.878328282
3000000,28437.00013,52.8,105.6,-1.878328282
4000000,38010.95156,276,552,-0.530713777
5000000,47716.63946,132,264,-1.40014249
6000000,57308.1487,132,264,-1.40014249
7000000,66807.64203,132,264,-1.40014249
8000000,76191.37562,1507.2,331.1304275,6.902901718
9000000,85908.94725,1305.6,494.2135571,5.68570152
10000000,95197.2413,1405.5,83.48413023,6.28886769
