step,time,raw_score,std_score,human_normalized_score
1000000,8969.709442853928,180.0,0.0,0.26580098746495884
2000000,18803.870836019516,204.0,14.966629547095765,0.32296249014559514
3000000,28645.846794366837,264.0,83.33066662399864,0.4658662468471859
4000000,38684.18969678879,496.0,92.43376006633075,1.0184274394266704
5000000,48713.31189227104,224.0,34.40930106817051,0.37059707571279205
6000000,58568.65154290199,392.0,29.93325909419153,0.7707275944772463
7000000,68306.10941386223,232.0,32.49615361854384,0.38965090993967083
8000000,78011.17185401917,272.0,49.95998398718719,0.4849200810740647
9000000,87664.18422293663,288.0,39.191835884530846,0.5230277495278223
10000000,97357.09032011032,280.0,33.46640106136302,0.5039739153009435
