step,time,raw_score,std_score,human_normalized_score
1000000,5864.873109102249,155.0,112.33877335986894,0.4603143289274676
2000000,11831.236845254898,178.0,50.457903246171455,1.9727756954034326
3000000,17902.67075896263,251.0,8.0,6.773196554218453
4000000,24229.116597890854,358.0,145.34785860135676,13.809429867824027
5000000,31205.19088459015,429.0,118.12705024675762,18.478332346945486
6000000,37468.57253885269,283.0,97.80593029055038,8.877490629315446
7000000,43320.19725680351,400.0,70.78135347674555,16.571315841388834
8000000,49194.76177859306,268.0,146.95577566057077,7.89110278161373
9000000,55059.69072723389,469.0,158.60012610335465,21.108699940816727
10000000,60924.06738805771,313.0,141.5132502630054,10.850266324718879
