step,time,raw_score,std_score,human_normalized_score
1000000,6738.553111553192,285.0,0.0,9.00900900900901
2000000,14086.734412908554,270.0,0.0,8.022621161307294
3000000,21347.338395118713,270.0,0.0,8.022621161307294
4000000,28615.65881419182,370.0,112.78297743897348,14.5985401459854
5000000,35829.92091464996,509.0,245.446531855718,23.739067534687972
6000000,42834.58179688454,273.0,102.83968105745953,8.219898730847635
7000000,49849.83438181877,255.0,187.29655629509048,7.036233313605576
8000000,56773.52740955353,308.0,120.56533498481228,10.521470375484974
9000000,63731.87526631355,307.0,140.12851244482687,10.455711185638194
10000000,70698.78016996384,296.0,175.85221067703415,9.7323600973236
