step,time,raw_score,std_score,human_normalized_score
1000000,6742.454958200455,2.0,2.280350850198276,1.0416666666666667
2000000,13630.485917568207,12.8,3.370459909270543,38.54166666666667
3000000,20596.859293699265,24.0,3.1622776601683795,77.43055555555556
4000000,27469.388805389404,45.6,19.530488985173925,152.43055555555554
5000000,34353.36911702156,54.0,10.788883167408942,181.5972222222222
6000000,41285.92093372345,73.0,12.553883861180172,247.56944444444443
7000000,48198.635063648224,65.6,19.252012881774206,221.87499999999994
8000000,55105.36212897301,64.6,17.304334717058612,218.40277777777771
9000000,62047.386019706726,75.0,19.57549488518745,254.51388888888889
10000000,69301.19421720505,82.2,18.723247581549522,279.51388888888886
