step,time,raw_score,std_score,human_normalized_score
1000000,9716.878960609436,175.0,68.92024376045111,0.08351453228100002
2000000,20157.942682504654,455.0,18.708286933869708,2.1901874186485695
3000000,31368.119066238403,2585.0,1734.041521994211,18.21594901851615
4000000,42109.90109086037,3990.0,12.24744871391589,28.786932609039127
5000000,52837.34241938591,4085.0,56.124860801609124,29.5016966240567
6000000,63080.248920202255,4315.0,138.38352503098048,31.23217792357292
7000000,73418.42224407196,4040.0,2111.847532375384,29.163124195890482
8000000,84115.02861785889,4375.0,225.8317958127243,31.683607827794543
9000000,94489.83224272728,2210.0,1842.3897524682448,15.394512117131013
10000000,104508.59924316406,3650.0,1537.5304875026056,26.228829818449938
